"brand","model","model_year","milage","fuel_type","engine","transmission","ext_col","int_col","accident","clean_title","price"
"Ford","Utility Police Interceptor Base",0.78,0.125710051864658,"E85 Flex Fuel","300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability","6-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",0.00281157406482135
"Hyundai","Palisade SEL",0.94,0.0855569276364535,"Gasoline","3.8L V6 24V GDI DOHC","8-Speed Automatic","Moonlight Cloud","Gray","At least 1 accident or damage reported","Yes",0.0121964727956497
"Lexus","RX 350 RX 350",0.96,0.0550061743640405,"Gasoline","3.5 Liter DOHC","Automatic","Blue","Black","None reported","",0.0178172497182498
"INFINITI","Q50 Hybrid Sport",0.82,0.219313410718696,"Hybrid","354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid","7-Speed A/T","Black","Black","None reported","Yes",0.00457304215362508
"Audi","Q3 45 S line Premium Plus",0.94,0.0240429735737219,"Gasoline","2.0L I4 16V GDI DOHC Turbo","8-Speed Automatic","Glacier White Metallic","Black","None reported","",0.0111782087427759
"Acura","ILX 2.4L",0.84,0.33661891825142,"Gasoline","2.4 Liter","F","Silver","Ebony.","None reported","",0.00433524396163658
"Audi","S3 2.0T Premium Plus",0.86,0.207211657199308,"Gasoline","292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","Blue","Black","None reported","Yes",0.00982357203371314
"BMW","740 iL",0.54,0.59743146455915,"Gasoline","282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","A/T","Green","Green","None reported","Yes",0.00179534247512689
"Lexus","RC 350 F Sport",0.94,0.0576339836996789,"Gasoline","311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","None reported","Yes",0.0135250262272436
"Tesla","Model X Long Range Plus",0.92,0.0837243763892319,"","534.0HP Electric Motor Electric Fuel System","A/T","Black","Black","None reported","Yes",0.0230176455065796
"Land","Rover Range Rover Sport 3.0 Supercharged HST",0.94,0.0679377624104717,"Gasoline","V6","Automatic","Fuji White","Pimento / Ebony","None reported","",0.0243546675347543
"Aston","Martin DBS Superleggera",0.9,0.0559891331192887,"Gasoline","715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel","8-Speed A/T","Silver","Black","None reported","Yes",0.061856661889249
"Toyota","Supra 3.0 Premium",0.94,0.030624845640899,"Gasoline","382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","A/T","Yellow","Black","None reported","Yes",0.0174453089564216
"Lincoln","Aviator Reserve AWD",0.96,0.0446925166707829,"Gasoline","400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Brown","None reported","Yes",0.0203246317938893
"Jaguar","F-TYPE",0.92,0.0390293899728328,"Gasoline","2.0 Liter Supercharged","Automatic","Silver","Black","None reported","",0.015581540220922
"Land","Rover LR4 HSE",0.78,0.196838725611262,"Gasoline","375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","A/T","White","Black","None reported","Yes",0.00948144073184934
"Mercedes-Benz","Metris Base",0.94,0.00391454680167943,"Gasoline","2.0L I4 16V GDI DOHC Turbo","9-Speed Automatic","Gray","White","None reported","Yes",0.084008478081409
"Dodge","Challenger SXT",0.78,0.150590269202272,"Gasoline","305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Gray","None reported","Yes",0.00501340917582602
"Nissan","350Z Enthusiast",0.58,0.182514201037293,"Gasoline","287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Purple","–","None reported","Yes",0.00304869476908339
"Jaguar","F-TYPE R",0.88,0.0868115584094838,"Gasoline","550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Green","Black","None reported","Yes",0.0226111528707018
"Genesis","GV70 3.5T Sport",0.98,0.0130896517658681,"Gasoline","375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Green","Beige","","",0.0196471440674263
"Chevrolet","S-10 LS",0.52,0.329488762657446,"E85 Flex Fuel","120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability","A/T","Blue","Black","None reported","Yes",0.000846859658078719
"BMW","440 Gran Coupe 440i xDrive",0.92,0.0639417140034576,"Gasoline","3.0 Liter Turbo","Automatic","White","Beige","None reported","",0.012397347906546
"Ford","F-150 XLT",0.98,0.00672511731291677,"Gasoline","3.5L V6 24V PDI DOHC Twin Turbo","Automatic","Iconic Silver Metallic","Black","None reported","Yes",0.019140383248032
"Chevrolet","Suburban RST",0.94,0.128179797480859,"Gasoline","355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel","10-Speed A/T","Blue","Black","None reported","Yes",0.0199858879306578
"Hyundai","Elantra N Base",0.96,0.0285255618671277,"Gasoline","276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",0.0102639390559141
"Nissan","Sentra SR",0.84,0.238184736972092,"Gasoline","1.8 Liter","Automatic","Blue","Black","None reported","",0.00406424887105139
"Mercedes-Benz","AMG CLA 45 Base 4MATIC",0.94,0.0429735737219066,"Gasoline","382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","Gray","Black","None reported","Yes",0.0196454503481101
"BMW","650 Gran Coupe i xDrive",0.82,0.170165472956286,"Gasoline","445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Gray","Black","None reported","Yes",0.00802822955858626
"Audi","Q5 2.0T Premium Plus",0.86,0.201975796492961,"E85 Flex Fuel","2.0L I4 16V GDI DOHC Turbo Flexible Fuel","8-Speed Automatic","Mythos Black Metallic","Black","None reported","Yes",0.00656316235011007
"Mercedes-Benz","AMG C 43 Base 4MATIC",0.88,0.070881699184984,"Gasoline","362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","9-Speed A/T","Silver","Black","None reported","Yes",0.0155822177086484
"Dodge","Ram 1500 Laramie Mega Cab",0.64,0.741128673746604,"Gasoline","345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","A/T","Silver","Gray","At least 1 accident or damage reported","Yes",0.00301482038276024
"BMW","i3 120Ah w/Range Extender",0.92,0.0862805631020005,"Hybrid","120 AH","Automatic","Black","Black","None reported","",0.00779043136659776
"Kia","Sorento SX",0.74,0.422079525808842,"Gasoline","276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",0.00135463670906272
"Lexus","LX 570 Base",0.84,0.292911830081502,"Gasoline","383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Beige","None reported","Yes",0.0152095994590938
"Jeep","New Compass Trailhawk",0.86,0.293652753766362,"Gasoline","180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel","A/T","Red","Black","None reported","Yes",0.00470853969891768
"BMW","340 i",0.88,0.109066436157076,"Gasoline","3.0 Liter Turbo","Automatic","Gray","Black","None reported","",0.0107036285903885
"Audi","A4 2.0T Premium Plus quattro",0.76,0.309891331192887,"Gasoline","211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","8-Speed A/T","Silver","Black","None reported","Yes",0.00237086829875718
"Hyundai","Tucson SE",0.66,0.0397629044208447,"Gasoline","173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel","A/T","Gold","Beige","None reported","Yes",0.00210021195203522
"BMW","Z4 sDrive28i",0.8,0.172635218572487,"Gasoline","240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Beige","At least 1 accident or damage reported","Yes",0.00609738953816678
"Bentley","Continental GTC Base",0.74,0.0496418868856508,"E85 Flex Fuel","552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability","6-Speed A/T","Black","Black","None reported","Yes",0.0264050841388945
"Honda","Passport Elite",0.98,0.00710792788342801,"Gasoline","3.5 Liter SOHC","Automatic","Lunar Silver Metallic","Gray","None reported","",0.0147346805628433
"Dodge","Sprinter 2500",0.66,0.468310693998518,"Diesel","3.0L V6 Cylinder Engine Diesel Fuel","5-Speed A/T","White","Gray","At least 1 accident or damage reported","Yes",0.00406492635877785
"BMW","M850 i xDrive",0.9,0.0243245245739689,"Gasoline","4.4 Liter DOHC Twin Turbo","Automatic","Blue","Black","None reported","",0.0249986196187573
"Lucid","Air Grand Touring",0.96,0.00852556186712769,"","536.0HP Electric Motor Electric Fuel System","1-Speed A/T","Red","Beige","None reported","Yes",0.0399714371174523
"Audi","A7 Premium",0.76,0.133119288713263,"Gasoline","310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Brown","At least 1 accident or damage reported","Yes",0.0118153859495143
"Chevrolet","Silverado 1500 Custom Trail Boss",0.94,0.126576932575945,"Gasoline","5.3L V8 16V GDI OHV","Automatic","Black","Jet Black","None reported","Yes",0.013938293740386
"MINI","Convertible John Cooper Works",0.86,0.059718448999753,"Gasoline","228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",0.00914608430725017
